Time (milliseconds),X,Y,Z
3557366,-128,88,-1048
3557387,-132,88,-1048
3557407,-132,84,-1032
3557428,-136,84,-1044
3557448,-124,88,-1028
3557468,-128,76,-1032
3557488,-128,72,-1032
3557509,-132,84,-1032
3557529,-128,76,-1036
3557549,-120,76,-1020
3557569,-124,76,-1032
3557590,-128,76,-1024
3557610,-132,68,-1016
3557630,-132,64,-1020
3557650,-124,64,-1012
3557671,-124,72,-1004
3557698,-128,56,-996
3557712,-132,64,-996
3557732,-128,56,-992
3557752,-128,60,-996
3557773,-124,56,-988
3557793,-120,48,-984
3557813,-120,48,-980
3557833,-120,48,-976
3557853,-116,32,-972
3557874,-116,36,-964
3557894,-112,28,-956
3557914,-112,28,-960
3557942,-120,24,-968
3557955,-120,28,-956
3557976,-112,32,-956
3557996,-112,28,-956
3558016,-104,20,-952
3558037,-100,16,-940
3558057,-108,8,-940
3558077,-112,24,-956
3558097,-108,24,-944
3558117,-120,24,-944
3558138,-120,12,-948
3558158,-116,12,-952
3558178,-112,16,-960
3558202,-112,16,-956
3558220,-116,4,-956
3558239,-112,8,-964
3558259,-116,4,-964
3558280,-112,12,-956
3558300,-112,12,-960
3558320,-116,8,-972
3558341,-112,0,-980
3558361,-120,4,-980
3558381,-124,8,-984
3558401,-116,-4,-964
3558422,-116,0,-976
3558446,-112,0,-980
3558462,-124,4,-988
3558483,-124,-4,-976
3558503,-120,-4,-980
3558523,-112,4,-988
3558544,-120,0,-984
3558564,-108,8,-984
3558584,-116,4,-980
3558605,-116,4,-980
3558625,-112,0,-976
3558645,-108,-4,-980
3558665,-116,0,-984
3558686,-104,4,-984
3558710,-112,0,-984
3558726,-112,12,-984
3558746,-112,16,-988
3558767,-116,12,-988
3558787,-120,8,-992
3558808,-128,24,-988
3558828,-124,20,-1000
3558848,-112,16,-1004
3558869,-120,28,-1004
3558889,-132,28,-996
3558909,-124,32,-1012
3558929,-128,36,-1016
3558954,-132,36,-1020
3558970,-132,48,-1020
3558990,-132,40,-1020
3559010,-136,52,-1024
3559031,-140,52,-1040
3559051,-136,60,-1032
3559071,-140,56,-1044
3559092,-136,60,-1036
3559112,-136,64,-1048
3559133,-136,68,-1048
3559153,-144,68,-1048
3559173,-152,64,-1056
3559193,-132,60,-1048
3559213,-132,64,-1044
3559234,-128,68,-1056
3559254,-140,72,-1044
3559274,-136,72,-1056
3559295,-128,76,-1052
3559315,-140,80,-1060
3559336,-136,72,-1064
3559356,-136,76,-1064
3559376,-132,84,-1056
3559397,-140,80,-1060
